Organism	Domain	Group	Plant Pathogen	Plant Associated	ecology
Trichoderma-harzianum	Fungi	Ascomycota	No	Yes	Plant Commensal
Acidovorax-radicis	Bacteria	B-proteobacteria	No	Yes	Plant Commensal
Rhizobacter-sp	Bacteria	B-proteobacteria	No	Yes	Plant Commensal
Aquimarina-agarilytica	Bacteria	Bacteroidetes	No	Yes	Plant Commensal
Aquimarina-agarivorans	Bacteria	Bacteroidetes	No	Yes	Plant Commensal
Moesziomyces-antarcticus	Fungi	Basidiomycota	Yes	Yes	Plant Commensal
Moesziomyces-aphidis	Fungi	Basidiomycota	No	Yes	Plant Commensal
Bacillus-amyloliquefaciens	Bacteria	Firmicutes	No	Yes	Plant Commensal
Bacillus-atrophaeus	Bacteria	Firmicutes	No	Yes	Plant Commensal
Bacillus-axarquiensis	Bacteria	Firmicutes	No	Yes	Plant Commensal
Bacillus-cereus	Bacteria	Firmicutes	No	Yes	Plant Commensal
Bacillus-gibsonii	Bacteria	Firmicutes	No	Yes	Plant Commensal
Bacillus-glycinifermentans	Bacteria	Firmicutes	No	Yes	Plant Commensal
Bacillus-licheniformis	Bacteria	Firmicutes	No	Yes	Plant Commensal
Bacillus-mojavensis	Bacteria	Firmicutes	No	Yes	Plant Commensal
Bacillus-paralicheniformis	Bacteria	Firmicutes	No	Yes	Plant Commensal
Bacillus-pumilus	Bacteria	Firmicutes	No	Yes	Plant Commensal
Bacillus-sonorensis	Bacteria	Firmicutes	No	Yes	Plant Commensal
Bacillus-subtilis	Bacteria	Firmicutes	No	Yes	Plant Commensal
Bacillus-vallismortis	Bacteria	Firmicutes	No	Yes	Plant Commensal
Jeotgalibacillus-marinus	Bacteria	Firmicutes	No	Yes	Plant Commensal
Paenibacillus-bovis	Bacteria	Firmicutes	No	No	Plant Commensal
Paenibacillus-dauci	Bacteria	Firmicutes	No	Yes	Plant Commensal
Paenibacillus-peoriae	Bacteria	Firmicutes	No	Yes	Plant Commensal
Paenibacillus-polymyxa	Bacteria	Firmicutes	No	Yes	Plant Commensal
Gynuella-sunshinyii	Bacteria	Gammaproteobacteria	No	Yes	Plant Commensal
Vibrio-rhizosphaerae	Bacteria	Gammaproteobacteria	No	Yes	Plant Commensal
Clavibacter-michiganensis	Bacteria	Actinobacteria	Yes	Yes	Plant Pathogen
Nocardia-vaccinii	Bacteria	Actinobacteria	No	Yes	Plant Pathogen
Streptomyces-acidiscabies	Bacteria	Actinobacteria	Yes	Yes	Plant Pathogen
Streptomyces-europaeiscabiei	Bacteria	Actinobacteria	Yes	Yes	Plant Pathogen
Streptomyces-ipomoeae	Bacteria	Actinobacteria	Yes	Yes	Plant Pathogen
Streptomyces-puniciscabiei	Bacteria	Actinobacteria	Yes	Yes	Plant Pathogen
Streptomyces-scabiei	Bacteria	Actinobacteria	Yes	Yes	Plant Pathogen
Alternaria-alternata	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Aspergillus-aculeatus	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Aspergillus-flavus	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Aspergillus-terreus	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Bipolaris-maydis	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Bipolaris-oryzae	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Bipolaris-sorokiniana	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Bipolaris-victoriae	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Bipolaris-zeicola	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Botrytis-cinerea	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Ceratocystis-platani	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Claviceps-purpurea	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Colletotrichum-chlorophyti	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Colletotrichum-fioriniae	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Colletotrichum-gloeosporioides	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Colletotrichum-graminicola	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Colletotrichum-higginsianum	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Colletotrichum-incanum	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Colletotrichum-nymphaeae	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Colletotrichum-orbiculare	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Colletotrichum-orchidophilum	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Colletotrichum-salicis	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Colletotrichum-simmondsii	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Colletotrichum-sublineola	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Diplodia-corticola	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Diplodia-seriata	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Dothistroma-septosporum	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Fusarium-avenaceum	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Fusarium-fujikuroi	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Fusarium-graminearum	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Fusarium-langsethiae	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Fusarium-mangiferae	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Fusarium-oxysporum	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Fusarium-poae	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Fusarium-proliferatum	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Fusarium-pseudograminearum	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Fusarium-verticillioides	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Gaeumannomyces-tritici	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Grosmannia-clavigera	Fungi	Ascomycota	No	Yes	Plant Pathogen
Leptosphaeria-maculans	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Macrophomina-phaseolina	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Magnaporthe-oryzae	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Marssonina-brunnea	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Mycosphaerella-eumusae	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Nectria-haematococca	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Neofusicoccum-parvum	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Neonectria-ditissima	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Parastagonospora-nodorum	Fungi	Ascomycota	No	Yes	Plant Pathogen
Penicillium-italicum	Fungi	Ascomycota	No	Yes	Plant Pathogen
Penicillium-solitum	Fungi	Ascomycota	No	No	Plant Pathogen
Phaeomoniella-chlamydospora	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Pseudocercospora-fijiensis	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Pseudocercospora-musae	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Pyrenophora-teres	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Pyrenophora-triticirepentis	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Rosellinia-necatrix	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Sclerotinia-borealis	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Sclerotinia-sclerotiorum	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Setosphaeria-turcica	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Sphaerulina-musiva	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Stemphylium-lycopersici	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Thielaviopsis-punctulata	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Ustilaginoidea-virens	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Valsa-mali	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Verticillium-alfalfae	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Verticillium-dahliae	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Verticillium-longisporum	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Zymoseptoria-brevis	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Zymoseptoria-tritici	Fungi	Ascomycota	Yes	Yes	Plant Pathogen
Acidovorax-avenae	Bacteria	B-proteobacteria	Yes	Yes	Plant Pathogen
Acidovorax-cattleyae	Bacteria	B-proteobacteria	Yes	Yes	Plant Pathogen
