Organism	Domain	Group	Plant Pathogen	Plant Associated	ecology
Herbidospora-cretacea	Bacteria	Actinobacteria	No	No	Soil
Herbidospora-daliensis	Bacteria	Actinobacteria	No	No	Soil
Herbidospora-mongoliensis	Bacteria	Actinobacteria	No	No	Soil
Herbidospora-sakaeratensis	Bacteria	Actinobacteria	No	No	Soil
Herbidospora-yilanensis	Bacteria	Actinobacteria	No	No	Soil
Kitasatospora-azatica	Bacteria	Actinobacteria	No	No	Soil
Kitasatospora-mediocidica	Bacteria	Actinobacteria	No	No	Soil
Kutzneria-sp	Bacteria	Actinobacteria	No	No	Soil
Lechevalieria-aerocolonigenes	Bacteria	Actinobacteria	No	No	Soil
Lechevalieria-fradiae	Bacteria	Actinobacteria	No	No	Soil
Lentzea-albidocapillata	Bacteria	Actinobacteria	No	No	Soil
Lentzea-flaviverrucosa	Bacteria	Actinobacteria	No	No	Soil
Lentzea-guizhouensis	Bacteria	Actinobacteria	No	No	Soil
Lentzea-jiangxiensis	Bacteria	Actinobacteria	No	No	Soil
Lentzea-violacea	Bacteria	Actinobacteria	No	No	Soil
Lentzea-waywayandensis	Bacteria	Actinobacteria	No	No	Soil
Micromonospora-carbonacea	Bacteria	Actinobacteria	No	No	Soil
Micromonospora-chaiyaphumensis	Bacteria	Actinobacteria	No	No	Soil
Micromonospora-chersina	Bacteria	Actinobacteria	No	No	Soil
Micromonospora-chokoriensis	Bacteria	Actinobacteria	No	No	Soil
Micromonospora-cremea	Bacteria	Actinobacteria	No	Yes	Soil
Micromonospora-globosa	Bacteria	Actinobacteria	No	No	Soil
Micromonospora-haikouensis	Bacteria	Actinobacteria	No	No	Soil
Micromonospora-humi	Bacteria	Actinobacteria	No	Yes	Soil
Micromonospora-matsumotoense	Bacteria	Actinobacteria	No	No	Soil
Micromonospora-mirobrigensis	Bacteria	Actinobacteria	No	No	Soil
Micromonospora-narathiwatensis	Bacteria	Actinobacteria	No	Yes	Soil
Micromonospora-purpureochromogenes	Bacteria	Actinobacteria	No	No	Soil
Micromonospora-rifamycinica	Bacteria	Actinobacteria	No	No	Soil
Micromonospora-rosaria	Bacteria	Actinobacteria	No	No	Soil
Nocardia-altamirensis	Bacteria	Actinobacteria	No	Yes	Soil
Nocardia-anaemiae	Bacteria	Actinobacteria	No	Yes	Soil
Nocardia-araoensis	Bacteria	Actinobacteria	No	Yes	Soil
Nocardia-gamkensis	Bacteria	Actinobacteria	No	Yes	Soil
Nocardia-jiangxiensis	Bacteria	Actinobacteria	No	Yes	Soil
Nocardia-lijiangensis	Bacteria	Actinobacteria	No	Yes	Soil
Nocardia-mexicana	Bacteria	Actinobacteria	No	Yes	Soil
Nocardia-otitidiscaviarum	Bacteria	Actinobacteria	No	Yes	Soil
Nocardia-pseudobrasiliensis	Bacteria	Actinobacteria	No	Yes	Soil
Nocardia-pseudovaccinii	Bacteria	Actinobacteria	No	Yes	Soil
Nocardia-puris	Bacteria	Actinobacteria	No	Yes	Soil
Nocardia-tenerifensis	Bacteria	Actinobacteria	No	Yes	Soil
Nocardia-transvalensis	Bacteria	Actinobacteria	No	Yes	Soil
Nocardia-vinacea	Bacteria	Actinobacteria	No	Yes	Soil
Nocardia-vulneris	Bacteria	Actinobacteria	No	Yes	Soil
Nocardioides-luteus	Bacteria	Actinobacteria	No	Yes	Soil
Saccharothrix-syringae	Bacteria	Actinobacteria	No	No	Soil
Streptacidiphilus-neutrinimicus	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-afghaniensis	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-antibioticus	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-aureofaciens	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-aureus	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-azureus	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-bicolor	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-bungoensis	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-caelestis	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-caeruleatus	Bacteria	Actinobacteria	No	Yes	Soil
Streptomyces-canus	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-canus2	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-cattleya	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-cellostaticus	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-cellulosae	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-chartreusis	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-ciscaucasicus	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-curacoi	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-davawensis	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-diastatochromogenes	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-erythrochromogenes	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-fulvoviolaceus	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-galbus	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-griseoruber	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-griseorubiginosus	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-humi	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-iakyrus	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-jeddahensis	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-katrae	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-lincolnensis	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-mirabilis	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-neyagawaensis	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-olindensis	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-olivochromogenes	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-ossamyceticus	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-peruviensis	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-phaeochromogenes	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-phaeoluteigriseus	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-phaeopurpureus	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-prasinus	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-prunicolor	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-pseudovenezuelae	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-regalis	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-resistomycificus	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-roseochromogenus	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-rubellomurinus	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-sclerotialus	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-stelliscabiei	Bacteria	Actinobacteria	Yes	Yes	Soil
Streptomyces-sviceus	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-torulosus	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-turgidiscabies	Bacteria	Actinobacteria	Yes	Yes	Soil
Streptomyces-variegatus	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-violaceoruber	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-viridochromogenes	Bacteria	Actinobacteria	No	No	Soil
Streptomyces-yerevanensis	Bacteria	Actinobacteria	No	UnkNown	Soil
Acanthamoeba-castellanii	Eukaryota	Amoebozoa	No	No	Soil
Acytostelium-subglobosum	Eukaryota	Amoebozoa	No	No	Soil
Entamoeba-dispar	Eukaryota	Amoebozoa	No	No	Soil
Entamoeba-histolytica	Eukaryota	Amoebozoa	No	No	Soil
Cenococcum-geophilum	Fungi	Ascomycota	No	Yes	Soil
Exophiala-oligosperma	Fungi	Ascomycota	No	No	Soil
Exophiala-spinifera	Fungi	Ascomycota	No	No	Soil
Paraphaeosphaeria-sporulosa	Fungi	Ascomycota	No	Yes	Soil
Penicilliopsis-zonata	Fungi	Ascomycota	No	Yes	Soil
Penicillium-camemberti	Fungi	Ascomycota	No	No	Soil
Penicillium-coprophilum	Fungi	Ascomycota	No	No	Soil
Penicillium-decumbens	Fungi	Ascomycota	No	Yes	Soil
Penicillium-griseofulvum	Fungi	Ascomycota	No	No	Soil
Penicillium-nalgiovense	Fungi	Ascomycota	No	No	Soil
Penicillium-nordicum	Fungi	Ascomycota	No	No	Soil
Penicillium-rubens	Fungi	Ascomycota	No	No	Soil
Pseudomassariella-vexata	Fungi	Ascomycota	No	Yes	Soil
Rachicladosporium-antarcticum	Fungi	Ascomycota	No	No	Soil
Talaromyces-marneffei	Fungi	Ascomycota	No	No	Soil
Trichoderma-atroviride	Fungi	Ascomycota	No	No	Soil
Trichoderma-virens	Fungi	Ascomycota	No	Yes	Soil
Janthinobacterium-sp	Bacteria	B-proteobacteria	No	No	Soil
Methylibium-sp	Bacteria	B-proteobacteria	No	No	Soil
Methylibium-sp2	Bacteria	B-proteobacteria	No	No	Soil
Mitsuaria-sp	Bacteria	B-proteobacteria	No	No	Soil
Polyangium-brachysporum	Bacteria	B-proteobacteria	No	No	Soil
Uliginosibacterium-gangwonense	Bacteria	B-proteobacteria	No	No	Soil
Leucosporidium-creatinivorum	Fungi	Basidiomycota	No	No	Soil
Herpetosiphon-aurantiacus	Bacteria	Chloroflexi	No	No	Soil
Allomyces-macrogynus	Fungi	Chytridiomycota	No	No	Soil
Bacillus-stratosphericus	Bacteria	Firmicutes	No	No	Soil
Bacillus-tequilensis	Bacteria	Firmicutes	No	No	Soil
Brevibacterium-halotolerans	Bacteria	Firmicutes	No	No	Soil
Clostridium-saccharoperbutylacetonicum	Bacteria	Firmicutes	No	No	Soil
Paenibacillus-amylolyticus	Bacteria	Firmicutes	No	No	Soil
Paenibacillus-macerans	Bacteria	Firmicutes	No	Yes	Soil
Paenibacillus-xylanexedens	Bacteria	Firmicutes	No	Yes	Soil
Pseudomonas-indica	Bacteria	Gammaproteobacteria	No	No	Soil
Hyalangium-minutum	Bacteria	Myxobacteria	No	No	Soil
Labilithrix-luteola	Bacteria	Myxobacteria	No	No	Soil
Minicystis-rosea	Bacteria	Myxobacteria	No	No	Soil
Nannocystis-exedens	Bacteria	Myxobacteria	No	No	Soil
Sorangium-cellulosum	Bacteria	Myxobacteria	No	No	Soil
Cedecea-neteri	Bacteria	Gammaproteobacteria	No	No	Soil
Nakamurella-multipartita	Bacteria	Actinobacteria	No	No	Wastewater
Acidomyces-richmondensis	Fungi	Ascomycota	No	No	Wastewater
Sphaerotilus-natans	Bacteria	B-proteobacteria	No	No	Wastewater
